order_id,ordered_at,customer_key,region,currency,net_amount,tax_amount,gross_amount,order_status
ORD-000078,2026-05-05T06:54:00+00:00,CUS-00183,North America,USD,533.80,42.70,576.50,completed
ORD-000079,2026-05-05T08:07:00+00:00,CUS-00159,United Kingdom,GBP,393.72,78.74,472.46,refunded
ORD-000080,2026-05-05T09:20:00+00:00,CUS-00259,North America,USD,292.18,23.37,315.55,refunded
ORD-000081,2026-05-05T10:33:00+00:00,CUS-00390,North America,USD,629.53,50.36,679.89,completed
ORD-000082,2026-05-05T11:46:00+00:00,CUS-00001,United Kingdom,GBP,406.66,81.33,487.99,completed
ORD-000083,2026-05-05T12:59:00+00:00,CUS-00161,Europe,EUR,167.17,33.43,200.60,completed
ORD-000084,2026-05-05T14:12:00+00:00,CUS-00265,North America,USD,572.81,45.82,618.63,completed
ORD-000085,2026-05-05T15:25:00+00:00,CUS-00281,North America,USD,463.07,37.05,500.12,refunded
ORD-000086,2026-05-05T16:38:00+00:00,CUS-00200,Europe,EUR,248.12,49.62,297.74,completed
ORD-000087,2026-05-05T17:51:00+00:00,CUS-00338,Europe,EUR,500.65,100.13,600.78,completed
ORD-000088,2026-05-05T19:04:00+00:00,CUS-00034,United Kingdom,GBP,327.37,65.47,392.84,completed
ORD-000089,2026-05-05T20:17:00+00:00,CUS-00036,Europe,EUR,140.95,28.19,169.14,completed
ORD-000090,2026-05-05T21:30:00+00:00,CUS-00205,North America,USD,299.06,23.92,322.98,refunded
ORD-000091,2026-05-05T22:43:00+00:00,CUS-00050,Europe,EUR,111.28,22.26,133.54,pending
ORD-000092,2026-05-05T23:56:00+00:00,CUS-00351,United Kingdom,GBP,136.28,27.26,163.54,completed
ORD-000093,2026-05-06T01:09:00+00:00,CUS-00079,Europe,EUR,280.28,56.06,336.34,completed
ORD-000094,2026-05-06T02:22:00+00:00,CUS-00215,North America,USD,162.40,12.99,175.39,completed
ORD-000095,2026-05-06T03:35:00+00:00,CUS-00208,Europe,EUR,246.48,49.30,295.78,completed
ORD-000096,2026-05-06T04:48:00+00:00,CUS-00038,North America,USD,348.25,27.86,376.11,completed
ORD-000097,2026-05-06T06:01:00+00:00,CUS-00298,United Kingdom,GBP,303.67,60.73,364.40,completed
ORD-000098,2026-05-06T07:14:00+00:00,CUS-00149,Europe,EUR,115.01,23.00,138.01,completed
ORD-000099,2026-05-06T08:27:00+00:00,CUS-00377,Europe,EUR,22.61,4.52,27.13,refunded
ORD-000100,2026-05-06T09:40:00+00:00,CUS-00100,United Kingdom,GBP,379.14,75.83,454.97,pending
ORD-000101,2026-05-06T10:53:00+00:00,CUS-00063,Europe,EUR,212.75,42.55,255.30,pending
ORD-000102,2026-05-06T12:06:00+00:00,CUS-00149,Europe,EUR,294.57,58.91,353.48,completed
ORD-000103,2026-05-06T13:19:00+00:00,CUS-00056,United Kingdom,GBP,121.92,24.38,146.30,completed
ORD-000104,2026-05-06T14:32:00+00:00,CUS-00233,Europe,EUR,428.72,85.74,514.46,completed
ORD-000105,2026-05-06T15:45:00+00:00,CUS-00264,North America,USD,47.88,3.83,51.71,completed
ORD-000106,2026-05-06T16:58:00+00:00,CUS-00219,Europe,EUR,475.41,95.08,570.49,completed
ORD-000107,2026-05-06T18:11:00+00:00,CUS-00267,Europe,EUR,626.29,125.26,751.55,pending
ORD-000108,2026-05-06T19:24:00+00:00,CUS-00094,North America,USD,366.53,29.32,395.85,completed
ORD-000109,2026-05-06T20:37:00+00:00,CUS-00288,North America,USD,612.98,49.04,662.02,pending
ORD-000110,2026-05-06T21:50:00+00:00,CUS-00202,North America,USD,147.42,11.79,159.21,completed
ORD-000111,2026-05-06T23:03:00+00:00,CUS-00006,United Kingdom,GBP,292.81,58.56,351.37,completed
ORD-000112,2026-05-07T00:16:00+00:00,CUS-00188,Europe,EUR,202.05,40.41,242.46,completed
ORD-000113,2026-05-07T01:29:00+00:00,CUS-00136,United Kingdom,GBP,333.61,66.72,400.33,completed
ORD-000114,2026-05-07T02:42:00+00:00,CUS-00219,Europe,EUR,389.13,77.83,466.96,pending
ORD-000115,2026-05-07T03:55:00+00:00,CUS-00033,North America,USD,454.81,36.38,491.19,completed
ORD-000116,2026-05-07T05:08:00+00:00,CUS-00211,United Kingdom,GBP,373.47,74.69,448.16,completed
ORD-000117,2026-05-07T06:21:00+00:00,CUS-00087,United Kingdom,GBP,609.42,121.88,731.30,completed
ORD-000118,2026-05-07T07:34:00+00:00,CUS-00086,Europe,EUR,145.11,29.02,174.13,completed
ORD-000119,2026-05-07T08:47:00+00:00,CUS-00104,North America,USD,564.44,45.16,609.60,refunded
ORD-000120,2026-05-07T10:00:00+00:00,CUS-00112,North America,USD,500.64,40.05,540.69,completed
ORD-000121,2026-05-07T11:13:00+00:00,CUS-00041,Europe,EUR,589.47,117.89,707.36,completed
ORD-000122,2026-05-07T12:26:00+00:00,CUS-00022,United Kingdom,GBP,218.51,43.70,262.21,pending
ORD-000123,2026-05-07T13:39:00+00:00,CUS-00363,United Kingdom,GBP,339.23,67.85,407.08,completed
ORD-000124,2026-05-07T14:52:00+00:00,CUS-00311,North America,USD,646.78,51.74,698.52,refunded
ORD-000125,2026-05-07T16:05:00+00:00,CUS-00052,Europe,EUR,211.84,42.37,254.21,pending
ORD-000126,2026-05-07T17:18:00+00:00,CUS-00106,Europe,EUR,303.70,60.74,364.44,completed
ORD-000127,2026-05-07T18:31:00+00:00,CUS-00298,Europe,EUR,444.48,88.90,533.38,completed
ORD-000128,2026-05-07T19:44:00+00:00,CUS-00152,Europe,EUR,447.53,89.51,537.04,completed
ORD-000129,2026-05-07T20:57:00+00:00,CUS-00256,Europe,EUR,175.45,35.09,210.54,refunded
ORD-000130,2026-05-07T22:10:00+00:00,CUS-00359,Europe,EUR,272.43,54.49,326.92,completed
ORD-000131,2026-05-07T23:23:00+00:00,CUS-00116,Europe,EUR,349.46,69.89,419.35,pending
ORD-000132,2026-05-08T00:36:00+00:00,CUS-00023,North America,USD,302.48,24.20,326.68,completed
ORD-000133,2026-05-08T01:49:00+00:00,CUS-00162,North America,USD,158.63,12.69,171.32,completed
ORD-000134,2026-05-08T03:02:00+00:00,CUS-00232,United Kingdom,GBP,157.67,31.53,189.20,completed
ORD-000135,2026-05-08T04:15:00+00:00,CUS-00193,North America,USD,306.39,24.51,330.90,pending
ORD-000136,2026-05-08T05:28:00+00:00,CUS-00076,United Kingdom,GBP,563.23,112.65,675.88,pending
ORD-000137,2026-05-08T06:41:00+00:00,CUS-00120,North America,USD,521.75,41.74,563.49,refunded
ORD-000138,2026-05-08T07:54:00+00:00,CUS-00215,United Kingdom,GBP,70.19,14.04,84.23,completed
ORD-000139,2026-05-08T09:07:00+00:00,CUS-00139,North America,USD,254.32,20.35,274.67,completed
ORD-000140,2026-05-08T10:20:00+00:00,CUS-00132,Europe,EUR,634.01,126.80,760.81,completed
ORD-000141,2026-05-08T11:33:00+00:00,CUS-00066,United Kingdom,GBP,35.72,7.14,42.86,completed
ORD-000142,2026-05-08T12:46:00+00:00,CUS-00365,United Kingdom,GBP,441.41,88.28,529.69,pending
ORD-000143,2026-05-08T13:59:00+00:00,CUS-00048,Europe,EUR,331.89,66.38,398.27,refunded
ORD-000144,2026-05-08T15:12:00+00:00,CUS-00124,North America,USD,265.30,21.22,286.52,completed
ORD-000145,2026-05-08T16:25:00+00:00,CUS-00184,North America,USD,406.25,32.50,438.75,completed
ORD-000146,2026-05-08T17:38:00+00:00,CUS-00168,United Kingdom,GBP,234.95,46.99,281.94,completed
ORD-000147,2026-05-08T18:51:00+00:00,CUS-00379,Europe,EUR,614.21,122.84,737.05,pending
ORD-000148,2026-05-08T20:04:00+00:00,CUS-00358,North America,USD,349.18,27.93,377.11,pending
ORD-000149,2026-05-08T21:17:00+00:00,CUS-00250,United Kingdom,GBP,36.78,7.36,44.14,completed
ORD-000150,2026-05-08T22:30:00+00:00,CUS-00101,United Kingdom,GBP,160.15,32.03,192.18,refunded
ORD-000151,2026-05-08T23:43:00+00:00,CUS-00109,Europe,EUR,78.43,15.69,94.12,completed
ORD-000152,2026-05-09T00:56:00+00:00,CUS-00017,North America,USD,508.85,40.71,549.56,completed
ORD-000153,2026-05-09T02:09:00+00:00,CUS-00185,North America,USD,398.78,31.90,430.68,pending
ORD-000154,2026-05-09T03:22:00+00:00,CUS-00012,North America,USD,407.22,32.58,439.80,completed
ORD-000155,2026-05-09T04:35:00+00:00,CUS-00103,Europe,EUR,521.86,104.37,626.23,completed
ORD-000156,2026-05-09T05:48:00+00:00,CUS-00306,Europe,EUR,267.80,53.56,321.36,completed
ORD-000157,2026-05-09T07:01:00+00:00,CUS-00242,Europe,EUR,88.68,17.74,106.42,completed
ORD-000158,2026-05-09T08:14:00+00:00,CUS-00166,North America,USD,345.19,27.62,372.81,completed
ORD-000159,2026-05-09T09:27:00+00:00,CUS-00044,United Kingdom,GBP,600.13,120.03,720.16,completed
ORD-000160,2026-05-09T10:40:00+00:00,CUS-00091,North America,USD,328.21,26.26,354.47,completed
ORD-000161,2026-05-09T11:53:00+00:00,CUS-00165,Europe,EUR,349.35,69.87,419.22,completed
ORD-000162,2026-05-09T13:06:00+00:00,CUS-00219,United Kingdom,GBP,568.08,113.62,681.70,refunded
ORD-000163,2026-05-09T14:19:00+00:00,CUS-00092,Europe,EUR,539.71,107.94,647.65,completed
ORD-000164,2026-05-09T15:32:00+00:00,CUS-00013,North America,USD,413.62,33.09,446.71,completed
ORD-000165,2026-05-09T16:45:00+00:00,CUS-00215,North America,USD,149.35,11.95,161.30,completed
ORD-000166,2026-05-09T17:58:00+00:00,CUS-00087,United Kingdom,GBP,608.98,121.80,730.78,completed
ORD-000167,2026-05-09T19:11:00+00:00,CUS-00290,North America,USD,495.18,39.61,534.79,completed
ORD-000168,2026-05-09T20:24:00+00:00,CUS-00074,North America,USD,376.33,30.11,406.44,completed
ORD-000169,2026-05-09T21:37:00+00:00,CUS-00171,North America,USD,467.15,37.37,504.52,completed
ORD-000170,2026-05-09T22:50:00+00:00,CUS-00068,North America,USD,164.34,13.15,177.49,completed
ORD-000171,2026-05-10T00:03:00+00:00,CUS-00181,Europe,EUR,250.94,50.19,301.13,completed
ORD-000172,2026-05-10T01:16:00+00:00,CUS-00038,North America,USD,441.10,35.29,476.39,completed
ORD-000173,2026-05-10T02:29:00+00:00,CUS-00300,North America,USD,559.57,44.77,604.34,completed
ORD-000174,2026-05-10T03:42:00+00:00,CUS-00244,North America,USD,437.53,35.00,472.53,pending
ORD-000175,2026-05-10T04:55:00+00:00,CUS-00042,Europe,EUR,488.62,97.72,586.34,completed
ORD-000176,2026-05-10T06:08:00+00:00,CUS-00193,Europe,EUR,346.56,69.31,415.87,completed
ORD-000177,2026-05-10T07:21:00+00:00,CUS-00055,United Kingdom,GBP,396.62,79.32,475.94,refunded
ORD-000178,2026-05-10T08:34:00+00:00,CUS-00085,Europe,EUR,371.48,74.30,445.78,completed
ORD-000179,2026-05-10T09:47:00+00:00,CUS-00131,United Kingdom,GBP,176.91,35.38,212.29,completed
ORD-000180,2026-05-10T11:00:00+00:00,CUS-00097,Europe,EUR,240.58,48.12,288.70,completed
ORD-000181,2026-05-10T12:13:00+00:00,CUS-00003,United Kingdom,GBP,514.41,102.88,617.29,completed
ORD-000182,2026-05-10T13:26:00+00:00,CUS-00214,United Kingdom,GBP,204.71,40.94,245.65,completed
ORD-000183,2026-05-10T14:39:00+00:00,CUS-00038,Europe,EUR,213.91,42.78,256.69,completed
ORD-000184,2026-05-10T15:52:00+00:00,CUS-00330,United Kingdom,GBP,40.28,8.06,48.34,pending
ORD-000185,2026-05-10T17:05:00+00:00,CUS-00348,United Kingdom,GBP,424.14,84.83,508.97,completed
ORD-000186,2026-05-10T18:18:00+00:00,CUS-00360,Europe,EUR,436.61,87.32,523.93,completed
ORD-000187,2026-05-10T19:31:00+00:00,CUS-00007,North America,USD,450.57,36.05,486.62,completed
ORD-000188,2026-05-10T20:44:00+00:00,CUS-00109,United Kingdom,GBP,137.13,27.43,164.56,completed
ORD-000189,2026-05-10T21:57:00+00:00,CUS-00335,North America,USD,621.81,49.74,671.55,pending
ORD-000190,2026-05-10T23:10:00+00:00,CUS-00049,Europe,EUR,622.34,124.47,746.81,completed
ORD-000191,2026-05-11T00:23:00+00:00,CUS-00218,United Kingdom,GBP,100.97,20.19,121.16,pending
ORD-000192,2026-05-11T01:36:00+00:00,CUS-00197,North America,USD,78.06,6.24,84.30,completed
ORD-000193,2026-05-11T02:49:00+00:00,CUS-00384,North America,USD,611.43,48.91,660.34,completed
ORD-000194,2026-05-11T04:02:00+00:00,CUS-00392,North America,USD,556.60,44.53,601.13,completed
ORD-000195,2026-05-11T05:15:00+00:00,CUS-00252,North America,USD,334.93,26.79,361.72,completed
ORD-000196,2026-05-11T06:28:00+00:00,CUS-00211,North America,USD,465.85,37.27,503.12,pending
ORD-000197,2026-05-11T07:41:00+00:00,CUS-00126,North America,USD,96.25,7.70,103.95,completed
ORD-000198,2026-05-11T08:54:00+00:00,CUS-00185,Europe,EUR,208.14,41.63,249.77,refunded
ORD-000199,2026-05-11T10:07:00+00:00,CUS-00008,North America,USD,463.02,37.04,500.06,completed
ORD-000200,2026-05-11T11:20:00+00:00,CUS-00393,Europe,EUR,121.73,24.35,146.08,refunded
ORD-000201,2026-05-11T12:33:00+00:00,CUS-00174,Europe,EUR,47.48,9.50,56.98,completed
ORD-000202,2026-05-11T13:46:00+00:00,CUS-00057,United Kingdom,GBP,201.19,40.24,241.43,refunded
ORD-000203,2026-05-11T14:59:00+00:00,CUS-00152,United Kingdom,GBP,564.96,112.99,677.95,completed
ORD-000204,2026-05-11T16:12:00+00:00,CUS-00303,North America,USD,636.07,50.89,686.96,completed
ORD-000205,2026-05-11T17:25:00+00:00,CUS-00220,United Kingdom,GBP,404.70,80.94,485.64,completed
ORD-000206,2026-05-11T18:38:00+00:00,CUS-00200,North America,USD,358.17,28.65,386.82,completed
ORD-000207,2026-05-11T19:51:00+00:00,CUS-00339,United Kingdom,GBP,582.63,116.53,699.16,completed
ORD-000208,2026-05-11T21:04:00+00:00,CUS-00346,North America,USD,50.43,4.03,54.46,completed
ORD-000209,2026-05-11T22:17:00+00:00,CUS-00052,Europe,EUR,344.58,68.92,413.50,completed
ORD-000210,2026-05-11T23:30:00+00:00,CUS-00200,United Kingdom,GBP,506.50,101.30,607.80,completed
ORD-000211,2026-05-12T00:43:00+00:00,CUS-00061,North America,USD,537.22,42.98,580.20,completed
ORD-000212,2026-05-12T01:56:00+00:00,CUS-00104,United Kingdom,GBP,432.92,86.58,519.50,completed
ORD-000213,2026-05-12T03:09:00+00:00,CUS-00072,Europe,EUR,352.63,70.53,423.16,pending
ORD-000214,2026-05-12T04:22:00+00:00,CUS-00377,United Kingdom,GBP,511.00,102.20,613.20,completed
ORD-000215,2026-05-12T05:35:00+00:00,CUS-00347,United Kingdom,GBP,200.85,40.17,241.02,completed
ORD-000216,2026-05-12T06:48:00+00:00,CUS-00089,United Kingdom,GBP,506.91,101.38,608.29,completed
ORD-000217,2026-05-12T08:01:00+00:00,CUS-00219,North America,USD,174.45,13.96,188.41,refunded
ORD-000218,2026-05-12T09:14:00+00:00,CUS-00209,North America,USD,570.80,45.66,616.46,completed
ORD-000219,2026-05-12T10:27:00+00:00,CUS-00322,United Kingdom,GBP,286.71,57.34,344.05,completed
ORD-000220,2026-05-12T11:40:00+00:00,CUS-00398,Europe,EUR,504.00,100.80,604.80,completed
ORD-000221,2026-05-12T12:53:00+00:00,CUS-00239,Europe,EUR,509.77,101.95,611.72,refunded
ORD-000222,2026-05-12T14:06:00+00:00,CUS-00281,United Kingdom,GBP,427.51,85.50,513.01,refunded
ORD-000223,2026-05-12T15:19:00+00:00,CUS-00174,Europe,EUR,595.81,119.16,714.97,pending
ORD-000224,2026-05-12T16:32:00+00:00,CUS-00168,United Kingdom,GBP,555.21,111.04,666.25,pending
ORD-000225,2026-05-12T17:45:00+00:00,CUS-00368,North America,USD,130.27,10.42,140.69,completed
ORD-000226,2026-05-12T18:58:00+00:00,CUS-00393,United Kingdom,GBP,568.96,113.79,682.75,refunded
ORD-000227,2026-05-12T20:11:00+00:00,CUS-00062,United Kingdom,GBP,647.59,129.52,777.11,completed
ORD-000228,2026-05-12T21:24:00+00:00,CUS-00203,North America,USD,212.46,17.00,229.46,completed
ORD-000229,2026-05-12T22:37:00+00:00,CUS-00315,Europe,EUR,383.09,76.62,459.71,completed
ORD-000230,2026-05-12T23:50:00+00:00,CUS-00227,United Kingdom,GBP,314.15,62.83,376.98,completed
ORD-000231,2026-05-13T01:03:00+00:00,CUS-00315,North America,USD,235.56,18.84,254.40,completed
ORD-000232,2026-05-13T02:16:00+00:00,CUS-00373,Europe,EUR,182.04,36.41,218.45,pending
ORD-000233,2026-05-13T03:29:00+00:00,CUS-00216,Europe,EUR,214.59,42.92,257.51,completed
ORD-000234,2026-05-13T04:42:00+00:00,CUS-00026,North America,USD,155.17,12.41,167.58,completed
ORD-000235,2026-05-13T05:55:00+00:00,CUS-00065,United Kingdom,GBP,179.21,35.84,215.05,completed
ORD-000236,2026-05-13T07:08:00+00:00,CUS-00074,Europe,EUR,640.63,128.13,768.76,completed
ORD-000237,2026-05-13T08:21:00+00:00,CUS-00193,North America,USD,202.97,16.24,219.21,completed
ORD-000238,2026-05-13T09:34:00+00:00,CUS-00009,Europe,EUR,458.15,91.63,549.78,pending
ORD-000239,2026-05-13T10:47:00+00:00,CUS-00266,United Kingdom,GBP,396.14,79.23,475.37,completed
ORD-000240,2026-05-13T12:00:00+00:00,CUS-00238,Europe,EUR,191.61,38.32,229.93,pending
ORD-000241,2026-05-13T13:13:00+00:00,CUS-00238,North America,USD,390.81,31.26,422.07,refunded
ORD-000242,2026-05-13T14:26:00+00:00,CUS-00319,United Kingdom,GBP,356.75,71.35,428.10,completed
ORD-000243,2026-05-13T15:39:00+00:00,CUS-00352,North America,USD,220.81,17.66,238.47,completed
ORD-000244,2026-05-13T16:52:00+00:00,CUS-00207,United Kingdom,GBP,459.92,91.98,551.90,completed
ORD-000245,2026-05-13T18:05:00+00:00,CUS-00021,Europe,EUR,513.35,102.67,616.02,completed
ORD-000246,2026-05-13T19:18:00+00:00,CUS-00190,North America,USD,290.91,23.27,314.18,completed
ORD-000247,2026-05-13T20:31:00+00:00,CUS-00007,United Kingdom,GBP,34.31,6.86,41.17,completed
ORD-000248,2026-05-13T21:44:00+00:00,CUS-00240,Europe,EUR,232.43,46.49,278.92,completed
ORD-000249,2026-05-13T22:57:00+00:00,CUS-00357,North America,USD,629.83,50.39,680.22,completed
ORD-000250,2026-05-14T00:10:00+00:00,CUS-00266,Europe,EUR,19.30,3.86,23.16,completed
ORD-000251,2026-05-14T01:23:00+00:00,CUS-00121,Europe,EUR,429.42,85.88,515.30,completed
ORD-000252,2026-05-14T02:36:00+00:00,CUS-00247,Europe,EUR,626.26,125.25,751.51,refunded
ORD-000253,2026-05-14T03:49:00+00:00,CUS-00021,Europe,EUR,603.92,120.78,724.70,completed
ORD-000254,2026-05-14T05:02:00+00:00,CUS-00277,Europe,EUR,636.30,127.26,763.56,refunded
ORD-000255,2026-05-14T06:15:00+00:00,CUS-00395,North America,USD,499.43,39.95,539.38,completed
ORD-000256,2026-05-14T07:28:00+00:00,CUS-00073,North America,USD,86.98,6.96,93.94,completed
